bigram,count
施工 路段,86
华为 智驾,74
代客 泊车,57
识别 限速,47
媲美 L4,47
小爱 同学,46
有没有 可能,41
礼让 行人,41
实线 变道,38
小米 智驾,37
武汉 萝卜,33
知道 知道,33
识别 不了,31
视觉 方案,31
行车 记录仪,30
限速 标志,27
识别 不到,25
识别 出来,22
相信 智驾,22
没有 识别,22
识别 减速,22
路段 限速,21
没有 激光雷达,21
训练 数据,21
交给 智驾,20
无人 出租车,20
离开 方向盘,19
节目 效果,19
美国 没有,19
麋鹿 测试,19
依赖 智驾,18
免责 声明,18
数据 训练,18
吊销 驾照,18
车主 适应,18
设置 途径,18
小米 没有,17
双手 离开,17
发生 事故,17
退出 智驾,17
啊啊啊 啊啊啊,17
深度 学习,17
通行 效率,17
保证 安全,17
鸿蒙 智行,17
L4 泊车,17
联系 车主,16
智驾 安全,16
美国 实线,16
限速 识别,16
