rank,word,freq
1,驾驶,1849
2,自动,1241
3,没有,1066
4,智驾,1042
5,问题,975
6,华为,860
7,小米,691
8,识别,651
9,辅助,553
10,司机,542
11,开车,488
12,安全,455
13,限速,425
14,理想,390
15,智能,372
16,美国,372
17,出来,362
18,车主,353
19,技术,350
20,中国,341
21,泊车,333
22,不行,327
23,时候,314
24,事故,311
25,速度,307
26,肯定,303
27,导航,295
28,看到,292
29,减速,288
30,数据,286
31,需要,283
32,武汉,260
33,方向盘,254
34,fsd,253
35,情况,249
36,无人驾驶,246
37,视觉,243
38,训练,238
39,路况,231
40,测试,230
41,问界,228
42,开始,227
43,不用,223
44,不了,216
45,摄像头,212
46,驾驶员,211
47,人类,206
48,人家,204
49,路段,202
50,汽车,201
51,刹车,200
52,FSD,199
53,东西,198
54,萝卜,198
55,激光雷达,196
56,比亚迪,188
57,施工,187
58,功能,187
59,系统,187
60,AI,187
61,媲美,186
62,只能,185
63,ai,178
64,行人,177
65,设置,174
66,车位,170
67,车道,169
68,雷达,167
69,相信,164
70,闯红灯,162
71,危险,160
72,看看,158
73,宣传,155
74,算法,155
75,不到,154
76,道路,153
77,地方,147
78,变道,146
79,红灯,146
80,估计,143
81,手机,143
82,停车,143
83,睡觉,142
84,红绿灯,141
85,喜欢,140
86,责任,140
87,L4,139
88,实现,138
89,不算,136
90,意义,136
91,适应,132
92,电池,131
93,实线,131
94,路线,130
95,交给,127
96,机器,127
97,学习,127
98,出事,125
99,无人,124
100,有没有,122
101,时间,122
102,不够,122
103,好像,120
104,模式,120
105,算力,119
106,理解,118
107,能力,115
108,干嘛,112
109,up,112
110,逻辑,112
111,车企,112
112,驾照,111
113,压实,111
114,北美,111
115,方向,108
116,退出,108
117,就算,106
118,车辆,106
119,负责,106
120,模型,105
121,科技,103
122,起来,102
123,反应,102
124,小鹏,102
125,L2,102
126,馆长,102
127,水平,101
128,价格,101
129,青鸟,101
130,生命,100
131,商单,100
132,判断,99
133,出现,98
134,操作,96
135,交规,96
136,才能,96
137,小爱,95
138,发展,95
139,途径,95
140,基本,94
141,看不到,94
142,bug,94
143,飞机,94
144,效率,94
145,意思,93
146,大家,93
147,电车,92
148,评人,91
149,超车,90
150,车门,88
151,概率,88
152,不让,88
153,礼让,88
154,标准,87
155,公司,86
156,打开,85
157,说话,85
158,国产,85
159,车机,83
160,提前,83
161,规则,83
162,人工,81
163,脑子,81
164,控制,81
165,处理,81
166,个人,80
167,doge,80
168,发生,80
169,设计,80
170,无法,80
171,L3,79
172,搞笑,78
173,注意,77
174,考虑,77
175,做到,77
176,使用,77
177,关键,77
178,方案,77
