content,video_title,timestamp
别洗了，洗地狗,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
1华为不是，华为遥遥领先~领先一辈子,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
'脱手，估计是困了，睡着了！,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
M小米是没有撒谎但有点避重就轻了  公众质疑的点一个没提,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
-前方开始借道了，不向左还向右吗,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
6他不动方向不接管估计没啥事就有点车损,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
$大聪明，跟安全带卡扣一样,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
*对对对，正因为有电，所以着了,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
-这车速  这角度  这位置  基本完了,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
那倒杯水,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
x请问宝马奔驰奥迪保时捷兰博基尼法拉利迈巴赫宾利劳斯莱斯这些车出事了，人家会慰问吗,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
-啊？那我喜欢给方向盘套个套子呢,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
牛的,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
?得问问这家是不是有人支招从那些角度往死里黑,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
装沙子是违规的,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
'施工路段限速120？你在逗我？,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
K小米最多会避开对自己不利的细节，但绝对不会扭曲事实,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
我以为是轮胎22度,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
-车是男友的，为什么联系女方家属,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
	这个好,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
	洗地猴,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
挂一块猪肉,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
$特斯拉走过的路，小米继续,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
接近120打这么大？,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
6懂了，睡着了，睁眼吓死自己猛打方向盘,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
怎么证明？,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
'事实证明科技也救不了女司机,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
6不识别就刹车啊，至少能识别是一个障碍,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
f一个车企赔的多，还是个人家属赔的多？撒点谎就能多赚一点，肯定选择撒谎,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
6很简单阿，给她同伴演示下智驾功能呗。,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
那是要找死了,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
l只是短时电流，坚持不了几分钟，小米的小电池再车前侧，这种碰撞基本废废了。,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
$不是说车是借的男朋友的吗,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
主观能动性吧,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
懂了 挂猪肉下次,BV17pZfYLEu6 | 小米su7事件，4月1号信息分析🧐,
