content,video_title,timestamp
x各位朋友，想带“字幕”一齐看，可点击右上角“三点”打开菜单下即可选择自生成字幕。,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
K为什么FSD和最强两个词能同时在标题里出现，怎么做到的,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
牛，这个弯都拐了,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
为啥前面也能走,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
'智驾祖师爷不是凯迪拉克吗？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
6走错路可太低级了，笑死了，gps都不准。,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
以为是路肩？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
哈哈哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
回？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
吹水都几好睇,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
	哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
6这东西敢买6万4，估计也只有特x子才会买,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
-公鸡没有，有母鸡哈哈哈哈哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
-这人不是说自己被全网封杀了吗？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
$国外是可以跨实线，哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
好多阿姨卖菜,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
迷路了？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
	哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
是销冠车吧,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
:我信他是拿国内驾驶素材练的模型了 这素质,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
	挑战PIT,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
哈哈哈哈哈哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
拳怕少壮啊,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
3可以，这符合国内某些城市的驾驶习惯,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
9呢度系中国啊？特斯拉系美国识飞都无用架,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
!美国没有实线虚线的好像,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
天生反骨,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
哈哈哈哈哈,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
南大干线,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
美国那边可以压没法,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
左边的卡车闯红灯,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
官司打完了吗,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
*那这段不能并线，只能走旁边？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
-不是，你那个手放在那里干什么？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
Q我不明白，现在这种智障还要呆一只手在那里有毛意思意思？,BV1v7PjegENh | 一镜到底：特斯拉FSD挑战「智闯纽北」,
