content,video_title,timestamp
	很快啊,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
好惊啊，哈哈,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
心脏病吓出来,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
	哈哈哈,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
蓟县,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
停的挺好哈,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
	可以啊,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
这次是真心动了,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
甘L多位 耿系罗尽佢啦,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
W根据计算车的长度，你那个车长都停不了，怎么可能给你停进去？,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
9说明很灵活，会根据空间自己选择泊车方案,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
T这要不是网而是个会动的东西，这波整不好会出事。还是得优化,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
-网上那个假装撞车的视频就是这样,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
秦l换秦l,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
牛逼,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
6我觉得应该强制车辆配套智驾提示灯……,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
"天神之C眼",BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
可以可以,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
艺高人胆大,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
噢哟,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
	可以啊,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
?这个 究 字的字体设计要改改，眨眼一看像穷 字,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
牛逼,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
韭菜之眼,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
	声控AEB,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
志姣瘦翻喔,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
侧方咋样,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
<应该靠近时逐渐减速，让车主知道它识别到了,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
其实无必要甘惊险,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
	打机甘,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
这么宽，搞的这么惊险,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
3这个情况撞到人算边个，无人在车里面,BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
"哪里惊险?",BV1ZaACeDEXU | 自掏腰包全网首测，9.98万的比亚迪自动泊车好用吗？「秦L」,
