content,video_title,timestamp
*你把理想排第一？你开玩笑吧？,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	没毛病,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
~我觉得是可以实现的，也快实现了，我觉得以后自动驾驶成熟了之后，人工驾驶可能是违法的。,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
闭环控制,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
0人工驾驶违法这个想法还是太超前了,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
-动力学系统数值计算用离散量求和,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
被我猜对了，难,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
更了！！,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
这总结不如不总结,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
好好,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	绝绝子,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
应该先搞智能辅驾,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
PID？,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
pid,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	没人？,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
!首发？岁月史书开始了？,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	高端局,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
	不相信,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
0烧钱才是根本，他们需要的是钱而已,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
K定位的方向错了，思考才是正解，但是可能吗？哈哈哈哈,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
5g表示这都是小钱,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
这个,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
/这个UP好像是两个视频涨粉40W的大佬,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
bgm声音太大了,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
2想起来了 是核磁共振 和5g视频 的大佬,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
还是不可能,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
钱,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
6必然泡沫，不是技术问题，是社会学问题,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
这不是蠢么？你指望一个可能需要花几十亿资金才能解决的问题，通过一个百万美金的挑战赛来解决？,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
3前面有个地陷坑，自动驾驶能避开吗？,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
3人能上天入地下海，几百年前也想不到,BV1wWfDYiEUi | 【深度解析】智能驾驶烧了1000亿，发生了什么？,
